,ds,Positive,Negative,Neutral
0,2012-05-18,46.0,18.0,36.0
1,2012-05-21,,,
2,2012-05-22,,,
3,2012-05-23,,,
4,2012-05-24,,,
5,2012-05-25,,,
6,2012-05-29,,,
7,2012-05-30,,,
8,2012-05-31,,,
9,2012-06-01,,,
10,2012-06-04,,,
11,2012-06-05,,,
12,2012-06-06,,,
13,2012-06-07,,,
14,2012-06-08,,,
15,2012-06-11,,,
16,2012-06-12,,,
17,2012-06-13,,,
18,2012-06-14,,,
19,2012-06-15,,,
20,2012-06-18,,,
21,2012-06-19,,,
22,2012-06-20,,,
23,2012-06-21,,,
24,2012-06-22,,,
25,2012-06-25,,,
26,2012-06-26,,,
27,2012-06-27,,,
28,2012-06-28,,,
29,2012-06-29,,,
30,2012-07-02,,,
31,2012-07-03,,,
32,2012-07-05,,,
33,2012-07-06,,,
34,2012-07-09,,,
35,2012-07-10,,,
36,2012-07-11,,,
37,2012-07-12,,,
38,2012-07-13,,,
39,2012-07-16,,,
40,2012-07-17,,,
41,2012-07-18,,,
42,2012-07-19,,,
43,2012-07-20,,,
44,2012-07-23,,,
45,2012-07-24,,,
46,2012-07-25,,,
47,2012-07-26,,,
48,2012-07-27,,,
49,2012-07-30,,,
50,2012-07-31,,,
51,2012-08-01,,,
52,2012-08-02,,,
53,2012-08-03,,,
54,2012-08-06,,,
55,2012-08-07,,,
56,2012-08-08,,,
57,2012-08-09,,,
58,2012-08-10,,,
59,2012-08-13,,,
60,2012-08-14,,,
61,2012-08-15,,,
62,2012-08-16,,,
63,2012-08-17,,,
64,2012-08-20,,,
65,2012-08-21,,,
66,2012-08-22,,,
67,2012-08-23,,,
68,2012-08-24,,,
69,2012-08-27,,,
70,2012-08-28,,,
71,2012-08-29,,,
72,2012-08-30,,,
73,2012-08-31,,,
74,2012-09-04,,,
75,2012-09-05,,,
76,2012-09-06,,,
77,2012-09-07,,,
78,2012-09-10,,,
79,2012-09-11,,,
80,2012-09-12,,,
81,2012-09-13,,,
82,2012-09-14,,,
83,2012-09-17,,,
84,2012-09-18,,,
85,2012-09-19,,,
86,2012-09-20,,,
87,2012-09-21,,,
88,2012-09-24,,,
89,2012-09-25,,,
90,2012-09-26,,,
91,2012-09-27,,,
92,2012-09-28,,,
93,2012-10-01,,,
94,2012-10-02,,,
95,2012-10-03,,,
96,2012-10-04,,,
97,2012-10-05,,,
98,2012-10-08,,,
99,2012-10-09,,,
100,2012-10-10,,,
101,2012-10-11,,,
102,2012-10-12,,,
103,2012-10-15,,,
104,2012-10-16,,,
105,2012-10-17,,,
106,2012-10-18,,,
107,2012-10-19,,,
108,2012-10-22,,,
109,2012-10-23,,,
110,2012-10-24,,,
111,2012-10-25,,,
112,2012-10-26,,,
113,2012-10-31,,,
114,2012-11-01,,,
115,2012-11-02,,,
116,2012-11-05,,,
117,2012-11-06,,,
118,2012-11-07,,,
119,2012-11-08,,,
120,2012-11-09,,,
121,2012-11-12,,,
122,2012-11-13,,,
123,2012-11-14,,,
124,2012-11-15,,,
125,2012-11-16,,,
126,2012-11-19,,,
127,2012-11-20,,,
128,2012-11-21,,,
129,2012-11-23,,,
130,2012-11-26,,,
131,2012-11-27,,,
132,2012-11-28,,,
133,2012-11-29,,,
134,2012-11-30,,,
135,2012-12-03,,,
136,2012-12-04,,,
137,2012-12-05,,,
138,2012-12-06,,,
139,2012-12-07,,,
140,2012-12-10,,,
141,2012-12-11,,,
142,2012-12-12,,,
143,2012-12-13,,,
144,2012-12-14,,,
145,2012-12-17,,,
146,2012-12-18,,,
147,2012-12-19,,,
148,2012-12-20,,,
149,2012-12-21,,,
150,2012-12-24,,,
151,2012-12-26,,,
152,2012-12-27,,,
153,2012-12-28,,,
154,2012-12-31,,,
155,2013-01-02,,,
156,2013-01-03,,,
157,2013-01-04,,,
158,2013-01-07,,,
159,2013-01-08,,,
160,2013-01-09,,,
161,2013-01-10,,,
162,2013-01-11,,,
163,2013-01-14,,,
164,2013-01-15,,,
165,2013-01-16,,,
166,2013-01-17,,,
167,2013-01-18,,,
168,2013-01-22,,,
169,2013-01-23,,,
170,2013-01-24,,,
171,2013-01-25,,,
172,2013-01-28,,,
173,2013-01-29,,,
174,2013-01-30,,,
175,2013-01-31,,,
176,2013-02-01,,,
177,2013-02-04,,,
178,2013-02-05,,,
179,2013-02-06,,,
180,2013-02-07,,,
181,2013-02-08,,,
182,2013-02-11,,,
183,2013-02-12,,,
184,2013-02-13,,,
185,2013-02-14,,,
186,2013-02-15,,,
187,2013-02-19,,,
188,2013-02-20,,,
189,2013-02-21,,,
190,2013-02-22,,,
191,2013-02-25,,,
192,2013-02-26,,,
193,2013-02-27,,,
194,2013-02-28,,,
195,2013-03-01,,,
196,2013-03-04,,,
197,2013-03-05,,,
198,2013-03-06,,,
199,2013-03-07,,,
200,2013-03-08,,,
201,2013-03-11,,,
202,2013-03-12,,,
203,2013-03-13,,,
204,2013-03-14,,,
205,2013-03-15,,,
206,2013-03-18,,,
207,2013-03-19,,,
208,2013-03-20,,,
209,2013-03-21,,,
210,2013-03-22,,,
211,2013-03-25,,,
212,2013-03-26,,,
213,2013-03-27,,,
214,2013-03-28,,,
215,2013-04-01,,,
216,2013-04-02,,,
217,2013-04-03,,,
218,2013-04-04,,,
219,2013-04-05,,,
220,2013-04-08,,,
221,2013-04-09,,,
222,2013-04-10,,,
223,2013-04-11,,,
224,2013-04-12,,,
225,2013-04-15,,,
226,2013-04-16,,,
227,2013-04-17,,,
228,2013-04-18,,,
